page,company_name,details_text
20,Crown Paints Kenya Plc,Crown Paints Kenya Plc; announced a First & Final Dividend of Kes.4.00; Books Closure 28-Jun-2022; Payment 15-Aug-2022.
20,Bamburi Cement Ltd,Bamburi Cement Ltd; announced a First & Final Dividend of Kes.3.58; Books Closure 26-May-2022; Payment 26-Jul-2022.
20,BOC Kenya Plc,BOC Kenya Plc; announced a Final Dividend of Kes.2.90; Books Closure 27-May-2022; Payment 19-Jul-2022.
20,Nation Media Group Plc,Nation Media Group Plc; announced a Final Dividend of Kes.1.50; Books Closure 16-Jun-2022; Payment 29-Jul-2022.
21,TotalEnergies Marketing Kenya Plc,TotalEnergies Marketing Kenya Plc; announced a First & Final Dividend of Kes.1.31; Books Closure 30-Jun-2022; Payment 31-Jul-2022.
21,Jubilee Holdings Ltd,Jubilee Holdings Ltd; announced a Special Dividend of Kes.5.00; Books Closure 22-Jun-2022; Payment 25-Jul-2022
21,Jubilee Holdings Ltd,Jubilee Holdings Ltd; announced a Final Dividend of Kes.8.00; Books Closure 22-Jun-2022; Payment 25-Jul-2022
21,Kenya Re Insurance Corporation Ltd,Kenya Re Insurance Corporation Ltd; announced a First & Final Dividend of Kes.0.10; Books Closure 17-Jun-2022; Payment 29-Jul-2022
21,BK Group Plc,BK Group Plc; announced a Final Dividend of FRw.28.7; Books Closure 22-Jun-2022; Payment 01-Jul-2022
21,ILAM FAHARI I-REIT,ILAM FAHARI I-REIT; announced a First & Final Dividend of Kes.0.50; Books Closure 08-Apr-2022; Payment 30-Apr-2022.
21,I&M Group Plc,I&M Group Plc; announced a First & Final Dividend of Kes.1.50; Books Closure 21-Apr-2022; Payment 26-May-2022.
21,Nairobi Securities Exchange Plc,Nairobi Securities Exchange Plc; announced a Final Dividend of Kes.0.40; Books Closure 03-Jun-2022; Payment 15-Jul-2022.
22,Nairobi Securities Exchange Plc,Nairobi Securities Exchange Plc; announced a Special Dividend of Kes.0.50;Books Closure 03-Jun-2022; Payment 15-Jul-2022.
22,Umeme Ltd,Umeme Ltd; announced a Final Dividend of Kes.Ushs.54.10; Books Closure 24-Jun-2022; Payment 22-Jul-2022
22,Diamond Trust Bank Kenya Ltd,Diamond Trust Bank Kenya Ltd; announced a First & Final Dividend of Kes.3.00
22,NCBA Group Plc,NCBA Group Plc; announced a Final Dividend of Kes.2.25; Books Closure 29-Apr-2022; Payment 05-May-2022.
22,Kakuzi Plc,Kakuzi Plc; announced a First & Final Dividend of Kes.22.00; Books Closure 31-May-2022; Payment 30-Jun-2022.
22,Equity Group Holdings Plc,Equity Group Holdings Plc; announced a First & Final Dividend of Kes.3.00; Books Closure 20-May-2022; Payment 30-Jun-2022.
22,The Co-operative Bank of Kenya Ltd,The Co-operative Bank of Kenya Ltd; announced a First & Final Dividend of Kes.1.00 ; Books Closure 30-May-2022; Payment 17-Jun-2022.
